observed_month,prod_type,prod_process,n_hens,n_eggs,source,n_egg_by_hen
2016-07-31,hatching eggs,all,57975000,1147000000,ChicEggs-09-23-2016.pdf,19.784389823199653
2016-08-31,hatching eggs,all,57595000,1142700000,ChicEggs-10-21-2016.pdf,19.840263911797898
2016-09-30,hatching eggs,all,57161000,1093300000,ChicEggs-11-22-2016.pdf,19.126677279963612
2016-10-31,hatching eggs,all,56857000,1126700000,ChicEggs-12-23-2016.pdf,19.816381448194594
2016-11-30,hatching eggs,all,57116000,1096600000,ChicEggs-01-24-2017.pdf,19.199523776174804
2016-12-31,hatching eggs,all,57750000,1132900000,ChicEggs-02-28-2017.pdf,19.617316017316018
2017-01-31,hatching eggs,all,57991000,1123400000,ChicEggs-03-21-2017.pdf,19.371971512820956
2017-02-28,hatching eggs,all,58286000,1014500000,ChicEggs-04-21-2017.pdf,17.405551933568955
2017-03-31,hatching eggs,all,58735000,1128500000,ChicEggs-05-22-2017.pdf,19.213416191368008
2017-04-30,hatching eggs,all,59072000,1097200000,ChicEggs-06-23-2017.pdf,18.573943661971832
2017-05-31,hatching eggs,all,59411000,1138500000,ChicEggs-07-21-2017.pdf,19.163117941122014
2017-06-30,hatching eggs,all,59952000,1115900000,ChicEggs-08-22-2017.pdf,18.613223912463305
2017-07-31,hatching eggs,all,60220000,1170800000,ChicEggs-09-22-2017.pdf,19.442045831949518
2017-08-31,hatching eggs,all,60060000,1167100000,ChicEggs-10-23-2017.pdf,19.43223443223443
2017-09-30,hatching eggs,all,60202000,1120900000,ChicEggs-11-21-2017.pdf,18.618982758047906
2017-10-31,hatching eggs,all,60164000,1155000000,ChicEggs-12-22-2017.pdf,19.19752676018882
2017-11-30,hatching eggs,all,59927000,1112700000,ChicEggs-01-23-2018.pdf,18.567590568525038
2017-12-31,hatching eggs,all,60242000,1140200000,ChicEggs-02-27-2018.pdf,18.92699445569536
2018-01-31,hatching eggs,all,60845000,1143100000,ChicEggs-03-23-2018.pdf,18.787081929492974
2018-02-28,hatching eggs,all,61396000,1045599999.9999999,ChicEggs-04-23-2018.pdf,17.03042543488175
2018-03-31,hatching eggs,all,61967000,1166900000,ChicEggs-05-22-2018.pdf,18.830990688592316
2018-04-30,hatching eggs,all,62656000,1141300000,ChicEggs-06-22-2018.pdf,18.215334525025536
2018-05-31,hatching eggs,all,62789000,1189900000,ChicEggs-07-23-2018.pdf,18.950771631973755
2018-06-30,hatching eggs,all,62428000,1161400000,ChicEggs-08-21-2018.pdf,18.60383161401935
2018-07-31,hatching eggs,all,61783000,1199700000,ChicEggs-09-21-2018.pdf,19.41796287004516
2018-08-31,hatching eggs,all,61242000,1197600000,ChicEggs-10-22-2018.pdf,19.55520721073773
2018-09-30,hatching eggs,all,60921000,1153700000,ChicEggs-11-20-2018.pdf,18.937640550877365
2018-10-31,hatching eggs,all,60889000,1184200000,ChicEggs-12-21-2018.pdf,19.4485046560134
2018-11-30,hatching eggs,all,60878000,1146000000,ChicEggs-12-21-2018.pdf,18.824534314530702
2018-12-31,hatching eggs,all,61300000,1176500000,ChicEggs-02-26-2019.pdf,19.192495921696572
2019-01-31,hatching eggs,all,62176000,1181200000,ChicEggs-03-27-2019.pdf,18.997683993823983
2019-02-28,hatching eggs,all,62757000,1083100000,ChicEggs-04-22-2019.pdf,17.25863250314706
2019-03-31,hatching eggs,all,62825000,1202400000,ChicEggs-05-21-2019.pdf,19.138877835256665
2019-04-30,hatching eggs,all,62900000,1165600000,ChicEggs-06-21-2019.pdf,18.53100158982512
2019-05-31,hatching eggs,all,63211000,1213100000,ChicEggs-07-23-2019.pdf,19.191279998734398
2019-06-30,hatching eggs,all,62987000,1173700000,ChicEggs-08-23-2019.pdf,18.634003842062647
2019-07-31,hatching eggs,all,62412000,1208100000,ChicEggs-09-23-2019.pdf,19.356854451067104
2019-08-31,hatching eggs,all,61893000,1199700000,ChicEggs-10-22-2019.pdf,19.3834520866657
2019-09-30,hatching eggs,all,61683000,1155400000,ChicEggs-11-22-2019.pdf,18.73125496490119
2019-10-31,hatching eggs,all,62135000,1204400000,ChicEggs-12-23-2019.pdf,19.383600225315845
2019-11-30,hatching eggs,all,62469000,1169900000,ChicEggs-01-21-2020.pdf,18.72768893371112
2019-12-31,hatching eggs,all,63024000,1208000000,ChicEggs-02-28-2020.pdf,19.167301345519167
2020-01-31,hatching eggs,all,64019000,1221400000,ChicEggs-03-23-2020.pdf,19.078711007669597
2020-02-29,hatching eggs,all,64384000,1154100000,ChicEggs-04-21-2020.pdf,17.925260934393638
2020-03-31,hatching eggs,all,64730000,1239900000,ChicEggs-05-22-2020.pdf,19.1549513363201
2020-04-30,hatching eggs,all,65044000,1203500000,ChicEggs-06-22-2020.pdf,18.50285960273046
2020-05-31,hatching eggs,all,64481000,1239100000,ChicEggs-07-21-2020.pdf,19.216513391541696
2020-06-30,hatching eggs,all,64251000,1207400000,ChicEggs-08-21-2020.pdf,18.79192541750323
2020-07-31,hatching eggs,all,64353000,1255200000,ChicEggs-09-22-2020.pdf,19.50491818563237
2020-08-31,hatching eggs,all,64223000,1257100000,ChicEggs-10-23-2020.pdf,19.573984398112824
2020-09-30,hatching eggs,all,63975000,1219800000,ChicEggs-11-23-2020.pdf,19.066822977725675
2020-10-31,hatching eggs,all,63728000,1254800000,ChicEggs-12-22-2020.pdf,19.689932211900576
2020-11-30,hatching eggs,all,64171000,1212900000,ChicEggs-01-21-2021.pdf,18.901061227034017
2020-12-31,hatching eggs,all,64883000,1253900000,ChicEggs-02-26-2021.pdf,19.32555523018356
2021-01-31,hatching eggs,all,66189000,1270200000,ChicEggs-03-22-2021.pdf,19.190499932012873
2021-02-28,hatching eggs,all,66882000,1156000000,ChicEggs-04-22-2021.pdf,17.284172124039355
2021-03-31,hatching eggs,all,67220000,1295000000,ChicEggs-05-21-2021.pdf,19.265099672716453
2021-04-30,hatching eggs,all,67483000,1267100000,ChicEggs-06-22-2021.pdf,18.776580768489843
2021-05-31,hatching eggs,all,67396000,1317800000,ChicEggs-07-22-2021.pdf,19.553089204107067
2021-06-30,hatching eggs,all,66666000,1265200000,ChicEggs-08-23-2021.pdf,18.978189781897818
2021-07-31,hatching eggs,all,65858000,1281700000,ChicEggs-09-22-2021.pdf,19.46156882990677
2021-08-31,hatching eggs,all,65316000,1278400000,ChicEggs-10-22-2021.pdf,19.572539653377426
2021-09-30,hatching eggs,all,64977000,1244200000,ChicEggs-11-22-2021.pdf,19.148314018806655
2021-10-31,hatching eggs,all,64898000,1285600000,ChicEggs-12-21-2021.pdf,19.8095472895929
2021-11-30,hatching eggs,all,65000000,1243300000,ChicEggs-01-19-2022.pdf,19.127692307692307
2021-12-31,hatching eggs,all,66031000,1302700000,ChicEggs-02-25-2022.pdf,19.728612318456484
2022-01-31,hatching eggs,all,66671000,1308500000,ChicEggs-03-21-2022.pdf,19.626224295420798
2022-02-28,hatching eggs,all,67137000,1206800000,ChicEggs-04-21-2022.pdf,17.975185069335836
2022-03-31,hatching eggs,all,67095000,1339700000,ChicEggs-05-20-2022.pdf,19.967210671436025
